level,latitude,longitude,gh[gpm],u[m/s],v[m/s],w[m/s],u_norm,v_norm,w_norm,mag,mag_norm
1,32.81348,-97.18607,175.74814,-2.31227,-0.87104,0.00532,0.4927516150257657,0.0760733221259537,0.3384254600878464,2.470896909403547,0.0567247125180638
1,32.81338,-97.15413,174.21689,-4.18727,-1.99604,-0.0081,0.4457704140208942,0.04809632046474152,0.3370517732536418,4.638692848691321,0.11289027001605219
1,32.81327,-97.12218,175.37314,-5.62477,-1.99604,-0.00273,0.4097514932504927,0.04809632046474152,0.3376014527096536,5.968435363426498,0.14734265011111605
1,32.81316,-97.09023,165.06064,-5.43727,-1.12104,0.00264,0.41444961335097985,0.06985621064568433,0.3381511321656654,5.551634237240418,0.13654372425570466
1,32.81303,-97.05829,163.24814,-4.93727,0.06646,-4e-05,0.4269779336189456,0.09938749017696388,0.3378768042434845,4.937717284950608,0.12063771241302546
1,32.8129,-97.02634,161.90439,-4.49977,1.19146,0.00264,0.4379402138534156,0.12736449183817605,0.3381511321656654,4.65483769363659,0.11330856779059623
1,32.81276,-96.99439,165.09189,-3.99977,1.87896,0.01337,0.4504685341213813,0.14446154840891684,0.3392494674660392,4.419143524643661,0.10720195315930292
1,32.81261,-96.96245,162.84189,-4.31227,2.37896,0.02412,0.44263833395390273,0.1568957713694556,0.34034984998971274,4.925008122724266,0.12030842995205296
1,32.81244,-96.9305,158.09189,-5.56227,3.19146,0.0456,0.4113175332839884,0.17710138368033107,0.34254856781376003,6.412982445360349,0.1588604476299738
1,32.81227,-96.89856,140.34189,-7.06227,3.56646,0.03213,0.37373257248009123,0.18642705090073514,0.3411697629213058,7.911784047950247,0.1976929899660378
1,32.84069,-97.63337,279.43564,7.37523,4.69146,-0.08354,0.7354878202176018,0.2144040525619473,0.32932964696657807,8.741326753765701,0.21918566263698228
1,32.84073,-97.60141,257.84189,4.62523,2.62896,-0.00543,0.6665820587437903,0.16311288284972497,0.3373250775641728,5.3201703656368,0.1305467126580488
1,32.84075,-97.56946,252.52939,0.87523,0.87896,0.0161,0.5726196567340472,0.11959310248783933,0.33952891344646974,1.2405069304522243,0.024846463345568448
1,32.84077,-97.5375,244.15439,-1.74977,0.62896,0.01609,0.5068459753272272,0.11337599100756997,0.3395278898348198,1.8594473971048495,0.040882629728937164
1,32.84077,-97.50554,219.96689,-0.24977,1.75396,-0.01345,0.5444309361311244,0.14135299266878215,0.3365041410209298,1.7717058551012355,0.03860932875394536
1,32.84077,-97.47358,207.40439,3.81273,2.00396,0.01066,0.646223538308346,0.14757010414905153,0.3389720687089084,4.307305349066862,0.10430433103215167
1,32.84076,-97.44163,235.34189,5.18773,2.19146,0.04827,0.6806764190452518,0.15223293775925356,0.34282187212429105,5.631817599798488,0.1386211998974465
1,32.84074,-97.40967,238.62314,2.43773,3.44146,0.02146,0.6117706575714402,0.18331849516060045,0.3400775692908316,4.217420422023396,0.10197549696314752
1,32.84071,-97.37771,232.40439,-0.43727,3.75396,0.03493,0.5397328160306372,0.19108988451093714,0.3414563741832859,3.7795027238249217,0.09062946055271208
